S No,Player Name,Player_Type,Player_Speciality,Player Image,Total Impact,Impact/Match,Matches,Runs,Wickets,Batting Impact,Batting Impact/Innings,Batted Innings,Runs,Impact Runs,Bowling Impact,Bowling Impact per Match,Bowled Innings,Wickets,Impact Wickets
152,Aaron Hardie,Overseas,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
115,Abdul Samad,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/339100/339145.1.png",128.3,9.8,13,164,,130.3,10.8,12,164,160.9,#N/A,#N/A,#N/A,#N/A,#N/A
221,Abhinandan Singh,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
172,Abhinav Manohar,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/399200/399248.2.png",-4.7,-0.6,8,61,,-4.7,-1,5,61,38.1,#N/A,#N/A,#N/A,#N/A,#N/A
23,Abhishek Sharma,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/358000/358037.1.png",524.7,37.4,14,439,,520.9,40,13,439,502.3,#N/A,#N/A,#N/A,#N/A,#N/A
67,Abishek Porel,Indian,WK,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/393400/393462.2.png",259.5,19.9,13,301,,259.5,19.9,13,301,307.1,#N/A,#N/A,#N/A,#N/A,#N/A
71,Adam Zampa,Overseas,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/321500/321549.1.png",15.8,7.9,2,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,15.8,7.9,2,2,1.4
26,Aiden Markram,Overseas,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/322000/322067.1.png",402.8,30.9,13,445,4,346.4,26.6,13,445,436.9,56.4,11.2,5,4,5.9
188,Ajay Mandal,Indian,Not Specified,_,-,-,-,-,-,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
102,Ajinkya Rahane,Indian,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/316600/316620.3.png",358,27.5,13,390,,358,29.8,12,390,402.6,#N/A,#N/A,#N/A,#N/A,#N/A
